histologicalDiagnosis,primaryTumorSite,CTEP.CATEGORY,CTEP.SUBCATEGORY,CTEP.TERM,SHORT.NAME
adenocarcinoma,esophagus,Gastrointestinal Neoplasm,Gastroesophageal Cancer,Adenocarcinoma of the esophagus,Adenocarcinoma - esophagus
adenocarcinoma,lung,"Lung, Mediastinal and Pleural Neoplasm",Non-Small Cell Lung Cancer,"Non-small cell lung cancer, NOS",Lung adenocarcinoma
adenocarcinoma,lung,,,Non-small cell lung cancer,
adenocarcinoma,unknown,.,,,
"adenocarcinoma, acinar predominant",lung,"Lung, Mediastinal and Pleural Neoplasm",Non-Small Cell Lung Cancer,"Non-small cell lung cancer, NOS",Lung adenocarcinoma
"adenocarcinoma, micropapillary predominant",lung,"Lung, Mediastinal and Pleural Neoplasm",Non-Small Cell Lung Cancer,"Non-small cell lung cancer, NOS",Lung adenocarcinoma
"adenocarcinoma, papillary predominant",lung,"Lung, Mediastinal and Pleural Neoplasm",Non-Small Cell Lung Cancer,"Non-small cell lung cancer, NOS",Lung adenocarcinoma
"adenocarcinoma, solid predominant",lung,"Lung, Mediastinal and Pleural Neoplasm",Non-Small Cell Lung Cancer,"Non-small cell lung cancer, NOS",Lung adenocarcinoma
adenoid cystic carcinoma,trachea,"Lung, Mediastinal and Pleural Neoplasm",,,
adenosquamous carcinoma,lung,"Lung, Mediastinal and Pleural Neoplasm",Non-Small Cell Lung Cancer,"Non-small cell lung cancer, NOS","Non-small cell lung cancer, NOS"
adenosquamous carcinoma,stomach,Gastrointestinal Neoplasm,Gastroesophageal Cancer,,
aml,bone marrow,Hematopoietic Neoplasm/Leukemia,,,
astrocytic tumors,central nervous system (brain/spinal cord),.,,,
astrocytic tumors:anaplastic astrocytoma (who grade iii),central nervous system (brain/spinal cord),.,,,
"astrocytic tumors:astrocytoma, not otherwise characterized (who grades i-iv)",central nervous system (brain/spinal cord),.,,,
astrocytic tumors:diffuse astrocytoma (who grade ii),central nervous system (brain/spinal cord),.,,,
astrocytic tumors:glioblastoma (who grade iv),central nervous system (brain/spinal cord),.,,,
astrocytic tumors:glioblastoma (who grade iv):giant cell glioblastoma (who grade iv),central nervous system (brain/spinal cord),.,,,
astrocytic tumors:glioblastoma (who grade iv):gliosarcoma (who grade iv),central nervous system (brain/spinal cord),.,,,
astrocytic tumors:pilocytic astrocytoma (who grade i),central nervous system (brain/spinal cord),.,,,
astrocytic tumors:pilomyxoid astrocytoma (who grade ii),central nervous system (brain/spinal cord),.,,,
astrocytic tumors:pleomorphic xanthoastrocytoma (who grade ii),central nervous system (brain/spinal cord),.,,,
atypical carcinoid tumor,lung,"Lung, Mediastinal and Pleural Neoplasm",Neuroendocrine Cancer,,
b-all,bone marrow,Hematopoietic Neoplasm/Leukemia,,,
carcinoma of the endocrine pancreas,pancreas,Endocrine Neoplasm,Neuroendocrine Cancer,Pancreatic neuroendocrine tumor,
"carcinoma of the endocrine pancreas:pancreatic neuroendocrine tumor, functional status unknown",pancreas,Endocrine Neoplasm,Neuroendocrine Cancer,Pancreatic neuroendocrine tumor,
"carcinoma of the endocrine pancreas:pancreatic neuroendocrine tumor, nonfunctional",pancreas,Endocrine Neoplasm,Neuroendocrine Cancer,Pancreatic neuroendocrine tumor,
carcinoma of the exocrine pancreas:adenosquamous carcinoma,pancreas,Gastrointestinal Neoplasm,,,
carcinoma of the exocrine pancreas:ductal adenocarcinoma,pancreas,Gastrointestinal Neoplasm,,,
carcinoma of the prostate gland,prostate gland,.,,,
"carcinoma of the prostate gland:adenocarcinoma (conventional, acinar)",prostate gland,.,,,
"carcinoma, squamous",neck,.,,,
"carcinoma, type cannot be determined",thyroid,Endocrine Neoplasm,,,
carcinoma:(hyalinizing) clear cell carcinoma,salivary glands,.,,,
carcinoma:adenocarcinoma,colon and rectum,Colorectal Cancer,,Adenocarcinoma - colon,
carcinoma:adenocarcinoma,gallbladder,Gastrointestinal Neoplasm,,,
carcinoma:adenocarcinoma (not otherwise characterized),small intestine,Gastrointestinal Neoplasm,,,
"carcinoma:adenocarcinoma, intestinal type",ampulla of vater,Gastrointestinal Neoplasm,,,
"carcinoma:adenocarcinoma, intestinal type",gallbladder,Gastrointestinal Neoplasm,,,
carcinoma:adenocarcinoma:diffuse adenocarcinoma (signet-ring carcinoma),stomach,Gastrointestinal Neoplasm,Gastroesophageal Cancer,Adenocarcinoma of the stomach,Adenocarcinoma - stomach
carcinoma:adenocarcinoma:intestinal (tubular) adenocarcinoma,stomach,Gastrointestinal Neoplasm,Gastroesophageal Cancer,Adenocarcinoma of the stomach,Adenocarcinoma - stomach
carcinoma:adenocarcinoma:mixed (approximately equal amounts of intestinal and diffuse),stomach,Gastrointestinal Neoplasm,Gastroesophageal Cancer,Adenocarcinoma of the stomach,Adenocarcinoma - stomach
carcinoma:adenocarcinoma:mucinous adenocarcinoma (>50% mucinous),stomach,Gastrointestinal Neoplasm,Gastroesophageal Cancer,Adenocarcinoma of the stomach,Adenocarcinoma - stomach
carcinoma:adenocarcinoma:papillary adenocarcinoma,stomach,Gastrointestinal Neoplasm,Gastroesophageal Cancer,Adenocarcinoma of the stomach,Adenocarcinoma - stomach
carcinoma:adenocarcinoma:poorly cohesive carcinoma (signet-ring carcinoma),stomach,Gastrointestinal Neoplasm,Gastroesophageal Cancer,Adenocarcinoma of the stomach,Adenocarcinoma - stomach
carcinoma:adenosquamous carcinoma,colon and rectum,Colorectal Cancer,,Adenocarcinoma - colon,
carcinoma:adenosquamous carcinoma,esophagus,Gastrointestinal Neoplasm,Gastroesophageal Cancer,,"Esophageal cancer, NOS"
carcinoma:carcinoma ex pleomorphic adenoma (malignant mixed tumor):high-grade,salivary glands,.,,,
"carcinoma:carcinoma, not otherwise specified",small intestine,Gastrointestinal Neoplasm,,,
carcinoma:cholangiocarcinoma,intrahepatic bile ducts,Gastrointestinal Neoplasm,,,
carcinoma:clear cell renal cell carcinoma,kidney,Kidney Neoplasm,Renal Cell Carcinoma,"Renal cell carcinoma, clear cell adenocarcinoma","RCC, clear cell adenocarcinoma"
carcinoma:endometrioid carcinoma,ovary,.,,,
carcinoma:follicular carcinoma - variant (required only if applicable):,thyroid,Endocrine Neoplasm,,,
carcinoma:hepatocellular carcinoma,hepatocellular (liver),Gastrointestinal Neoplasm,,,
carcinoma:mucinous (colloid) adenocarcinoma (greater than 50% mucinous),appendix,Gastrointestinal Neoplasm,,,
carcinoma:mucoepidermoid carcinoma,salivary glands,.,,,
carcinoma:other carcinoma (specify),appendix,Gastrointestinal Neoplasm,,,
carcinoma:papillary carcinoma,thyroid,Endocrine Neoplasm,,,
carcinoma:papillary carcinoma,thyroid,,,Thyroid Cancer,Papillary thyroid carcinoma
"carcinoma:papillary carcinoma:classic (usual, conventional)",thyroid,Endocrine Neoplasm,,,
"carcinoma:papillary carcinoma:classic (usual, conventional)",thyroid,,,Thyroid Cancer,Papillary thyroid carcinoma
"carcinoma:papillary carcinoma:follicular variant, infiltrative",thyroid,Endocrine Neoplasm,,,
carcinoma:papillary renal cell carcinoma,kidney,Kidney Neoplasm,Renal Cell Carcinoma,Papillary renal cell carcinoma,Papillary renal cell carcinoma
carcinoma:sebaceous adenocarcinoma,salivary glands,.,,,
"carcinoma:serous, borderline tumor",ovary,.,,,
"carcinoma:serous, carcinoma",ovary,.,,,
carcinoma:signet-ring cell carcinoma (greater than 50% signet-ring cells),appendix,Gastrointestinal Neoplasm,,,
carcinoma:squamous cell carcinoma,anus,Gastrointestinal Neoplasm,,,
carcinoma:undifferentiated carcinoma,hepatocellular (liver),Gastrointestinal Neoplasm,,,
carcinoma:verrucous (squamous) carcinoma,esophagus,Gastrointestinal Neoplasm,Gastroesophageal Cancer,,"Esophageal cancer, NOS"
carcinomas of minor salivary glands:adenoid cystic carcinoma,lip and oral cavity,.,,,
"carcinomas of the oropharynx and hypopharynx:squamous cell carcinoma, conventional",pharynx,.,,,
choroid plexus tumors:choroid plexus carcinoma (who grade iii),central nervous system (brain/spinal cord),.,,,
combined large cell neuroendocrine carcinoma (specify type of other non-small cell carcinoma component),lung,"Lung, Mediastinal and Pleural Neoplasm",Neuroendocrine Cancer,,
combined small cell carcinoma (small cell carcinoma and non-small cell component) (specify type of non-small cell carcinoma component),lung,"Lung, Mediastinal and Pleural Neoplasm",Neuroendocrine Cancer,,
cortical tumors:carcinoma,adrenal,Endocrine Neoplasm,,,
cytopenia,bone marrow,.,,,
cytopenia,hematologic and lymphatic neoplasm,.,,,
cytopenia - anemia,bone marrow,.,,,
desmoid fibromatosis,mesenteric mass,Soft Tissue Neoplasm,,,
diffuse large b-cell lymphoma,central nervous system (brain/spinal cord),.,,,
embryonal tumors,central nervous system (brain/spinal cord),.,,,
embryonal tumors:central nervous system (cns) primitive neuroectodermal tumor (pnet) (who grade iv):ganglioneuroblastoma (who grade iv),central nervous system (brain/spinal cord),.,,,
"embryonal tumors:medulloblastoma, not otherwise characterized (who grade iv)",central nervous system (brain/spinal cord),.,,,
endometrium carcinoma,uterus,.,,,
"endometrium carcinoma:endometrioid adenocarcinoma, not otherwise characterized",uterus,.,,,
eosinophilia,hematologic and lymphatic neoplasm,.,,,
ependymal tumors:anaplastic ependymoma (who grade iii),central nervous system (brain/spinal cord),.,,,
ependymal tumors:ependymoma (who grade ii),central nervous system (brain/spinal cord),.,,,
ependymal tumors:myxopapillary ependymoma (who grade i),central nervous system (brain/spinal cord),.,,,
epithelioid mesothelioma,pleura,"Lung, Mediastinal and Pleural Neoplasm",,,
fibroblastic / myofibroblastic tumors:intermediate (locally aggressive):desmoid-type fibromatoses,soft tissue,Soft Tissue Neoplasm,,,
fibroblastic / myofibroblastic tumors:malignant:myxofibrosarcoma,soft tissue,Soft Tissue Neoplasm,Non-Rhabdomyosarcoma Soft Tissue Sarcoma,,
follicular lymphoma,lymph node,Hematopoietic Neoplasm/Lymphoma,Non-Hodgkin Lymphoma,,
germ cell tumor:teratoma,testis,.,,,
germ cell tumors:mixed malignant germ cell tumors (specify types),ovary,.,,,
giant cell neoplasm,larynx,.,,,
gist (gastrointestinal stromal tumor):mixed gist,stomach,Gastrointestinal Neoplasm,,,
gist (gastrointestinal stromal tumor):mixed gist,stomach,,,Non-Rhabdomyosarcoma Soft Tissue Sarcoma,Gastrointestinal stromal tumor
gist (gastrointestinal stromal tumor):other gist (specify),small intestine,Gastrointestinal Neoplasm,,,
hepatoblastoma,liver,Gastrointestinal Neoplasm,,,
histiocytic and dendritic cell neoplasms:histiocytic sarcoma,hematologic and lymphatic neoplasm,.,,,
histiocytic and dendritic cell neoplasms:tumors derived from langerhans cells:langerhans cell histiocytosis,hematologic and lymphatic neoplasm,.,,,
invasive carcinoma,breast,Breast Cancer,Breast Cancer - Invasive,"Breast cancer, NOS","Breast cancer, NOS"
"invasive carcinoma:invasive carcinoma, type cannot be determined",breast,Breast Cancer,Breast Cancer - Invasive,"Breast cancer, NOS","Breast cancer, NOS"
invasive carcinoma:invasive ductal carcinoma (no special type or not otherwise specified),breast,Breast Cancer,Breast Cancer - Invasive,"Breast cancer, NOS","Breast cancer, NOS"
invasive carcinoma:invasive lobular carcinoma,breast,Breast Cancer,Breast Cancer - Invasive,"Breast cancer, NOS","Breast cancer, NOS"
invasive carcinoma:other(s) (specify),breast,Breast Cancer,Breast Cancer - Invasive,"Breast cancer, NOS","Breast cancer, NOS"
invasive carcinoma:squamous cell carcinoma,vulva,.,,,
invasive carcinoma:squamous cell carcinoma (scc),penis,.,,,
"invasive melanoma, spitzoid type",back,Skin Neoplasm,Melanoma,,
junctional nevus?,foreskin,Skin Neoplasm,,,
juvenile granulosa cell tumor,ovary,.,,,
large cell neuroendocrine carcinoma,lung,"Lung, Mediastinal and Pleural Neoplasm",Neuroendocrine Cancer,,
malignant melanoma,skin,Skin Neoplasm,Melanoma,,
malignant melanoma,skin,,,Melanoma,Melanoma
malignant melanoma:acral lentiginous melanoma,skin,Skin Neoplasm,Melanoma,,
"malignant mesothelioma, biphasic",peritoneum,.,,,
mature b-cell neoplasms,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Lymphoma,Non-Hodgkin Lymphoma,,
mature b-cell neoplasms:chronic lymphocytic leukemia/small lymphocytic lymphoma,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Lymphoma,Chronic Lymphoid Leukemia,"Chronic lymphocytic leukemia, NOS","Chronic lymphocytic leukemia, NOS"
"mature b-cell neoplasms:diffuse large b-cell lymphoma (dlbcl), not otherwise specified (nos)",hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Lymphoma,Non-Hodgkin Lymphoma,,
mature b-cell neoplasms:follicular lymphoma,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Lymphoma,Non-Hodgkin Lymphoma,"Non-Hodgkin lymphoma, indolent, NOS","NHL, indolent, NOS"
mature b-cell neoplasms:hairy cell leukemia,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Lymphoma,Non-Hodgkin Lymphoma,,
mature b-cell neoplasms:lymphoplasmacytic lymphoma,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Lymphoma,Non-Hodgkin Lymphoma,"Non-Hodgkin lymphoma, indolent, NOS","NHL, indolent, NOS"
mature b-cell neoplasms:plasma cell neoplasms,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Lymphoma,Myeloma,"Myeloma, NOS","Myeloma, NOS"
mature b-cell neoplasms:plasma cell neoplasms:extraosseous plasmacytoma,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Lymphoma,Myeloma,"Myeloma, NOS","Myeloma, NOS"
mature b-cell neoplasms:plasma cell neoplasms:monoclonal gammopathy of undetermined significance (mgus),hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Lymphoma,,Monoclonal gammopathy of undetermined significance (MGUS),
"mature t- and nk-cell neoplasms:anaplastic large cell lymphoma, alk negative",hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Lymphoma,Non-Hodgkin Lymphoma,"Anaplastic large-cell lymphoma, primary systemic type","ALCL, systemic"
"mature t- and nk-cell neoplasms:peripheral t-cell lymphoma, nos",hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Lymphoma,Non-Hodgkin Lymphoma,,
mature t- and nk-cell neoplasms:t-cell large granular lymphocytic leukemia,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Lymphoma,Non-Hodgkin Lymphoma,,
mature t- and nk-cell neoplasms:t-cell prolymphocytic leukemia,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Lymphoma,Non-Hodgkin Lymphoma,,
medullary tumors:neuroblastoma,adrenal,Endocrine Neoplasm,,,
melanoma,uvea,.,,Uveal Melanoma,
melanoma,uvea,,,Melanoma,Uveal Melanoma
merkel cell carcinoma,skin,Skin Neoplasm,,,
miscellaneous tumors:ewing sarcoma,bone,.,,,
mpn,bone marrow,Hematopoietic Neoplasm/Leukemia,,,
mucinous adenocarcinoma,lung,"Lung, Mediastinal and Pleural Neoplasm",Non-Small Cell Lung Cancer,"Non-small cell lung cancer, NOS",Lung adenocarcinoma
mycosis fungoides,skin,Hematopoietic Neoplasm/Lymphoma,,,
myelodysplastic syndrome,bone marrow,Hematopoietic Neoplasm/Leukemia,,,
myelodysplastic syndrome (mds),hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
myelodysplastic syndrome (mds):refractory anemia with excess blasts,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
myelodysplastic syndrome (mds):refractory anemia with ring sideroblasts,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
myelodysplastic syndrome (mds):refractory cytopenia with multilineage dysplasia,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
myelodysplastic/myeloproliferative neoplasms (mds/mpn),hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
"myelodysplastic/myeloproliferative neoplasms (mds/mpn):atypical chronic myeloid leukemia, bcr-abl1  negative",hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
myelodysplastic/myeloproliferative neoplasms (mds/mpn):chronic myelomonocytic leukemia,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
"myeloid and lymphoid neoplasms associated with eosinophilia and abnormalities of pdgfra, pdgfrb, or fgfr1:myeloid and lymphoid neoplasms associated with pdgfra rearrangement",hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
myeloproliferative neoplasm,bone marrow,Hematopoietic Neoplasm/Leukemia,,,
myeloproliferative neoplasm (mpn),bone marrow,Hematopoietic Neoplasm/Leukemia,,,
myeloproliferative neoplasms (mpn),hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
"myeloproliferative neoplasms (mpn):chronic myelogenous leukemia, bcr-abl1  positive",hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
myeloproliferative neoplasms (mpn):essential thrombocythemia,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
myeloproliferative neoplasms (mpn):mastocytosis,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
myeloproliferative neoplasms (mpn):polycythemia vera,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
myeloproliferative neoplasms (mpn):primary myelofibrosis,hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
NA,ampulla of vater,.,,,
NA,bone,.,,,
NA,bone marrow,.,,,
NA,breast,.,,,
NA,central nervous system (brain/spinal cord),.,,,
NA,colon,.,,,
NA,colon and rectum,.,,,
NA,esophagus,.,,,
NA,foot,.,,,
NA,gallbladder,.,,,
NA,hematologic and lymphatic neoplasm,.,,,
NA,hepatocellular (liver),.,,,
NA,kidney,.,,,
NA,larynx,.,,,
NA,lip and oral cavity,.,,,
NA,liver,.,,,
NA,lung,.,,,
NA,lymph node,.,,,
NA,NA,.,,,
NA,nasal cavity and paranasal sinuses,.,,,
NA,nasopharynx,.,,,
NA,other primary site,.,,,
NA,ovary,.,,,
NA,pancreas,.,,,
NA,peripheral blood,.,,,
NA,peritoneum,.,,,
NA,pharynx,.,,,
NA,prostate gland,.,,,
NA,scalp,.,,,
NA,skin,.,,,
NA,small intestine,.,,,
NA,soft tissue,.,,,
NA,stomach,.,,,
NA,testes,.,,,
NA,testis,.,,,
NA,thyroid,.,,,
NA,unknown,.,,,
NA,urethra,.,,,
NA,urinary bladder,.,,,
NA,vulva,.,,,
neuronal and mixed neuronal-glial tumors:anaplastic ganglioglioma (who grade iii),central nervous system (brain/spinal cord),.,,,
neuronal and mixed neuronal-glial tumors:gangliocytoma (who grade i),central nervous system (brain/spinal cord),.,,,
neuronal and mixed neuronal-glial tumors:ganglioglioma (who grade i),central nervous system (brain/spinal cord),.,,,
"non-small cell carcinoma, subtype cannot be determined",lung,"Lung, Mediastinal and Pleural Neoplasm",Non-Small Cell Lung Cancer,"Non-small cell lung cancer, NOS","Non-small cell lung cancer, NOS"
nonkeratinizing carcinoma,nasopharynx,.,,,
oligoastrocytic tumors (mixed glioma),central nervous system (brain/spinal cord),.,,,
oligodendroglial tumors:anaplastic oligodendroglioma (who grade iii),central nervous system (brain/spinal cord),.,,,
oligodendroglial tumors:oligodendroglioma (who grade ii),central nervous system (brain/spinal cord),.,,,
osteoclastic giant cell rich tumors,bone,.,,,
osteogenic tumors:malignant,bone,.,,,
osteogenic tumors:malignant:conventional osteosarcoma,bone,.,,,
osteogenic tumors:malignant:conventional osteosarcoma:chondroblastic,bone,.,,,
osteogenic tumors:malignant:conventional osteosarcoma:osteoblastic,bone,.,,,
other,unknown,.,,,
other malignancy (specify),perihilar bile ducts,Gastrointestinal Neoplasm,,,
"other malignancy:malignancy, type cannot be determined",other primary site,.,,,
other/non-classifiable:pediatric low grade glioma (plgg) not otherwise specified (nos) (grade i/ii),central nervous system (brain/spinal cord),.,,,
pleomorphic adenoma,salivary glands,.,,,
precursor lymphoid neoplasms:b lymphoblastic leukemia/lymphoma with hypodiploidy (hypodiploid acute lymphoblastic leukemia/lymphoma [all]),hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
"precursor lymphoid neoplasms:b lymphoblastic leukemia/lymphoma, not otherwise specified (nos)",hematologic and lymphatic neoplasm,Hematopoietic Neoplasm/Leukemia,,,
primary melanotic tumors:malignant melanoma,central nervous system (brain/spinal cord),.,,,
rosai dorfman disease,scalp,Skin Neoplasm,,,
sarcomatoid carcinoma,lung,"Lung, Mediastinal and Pleural Neoplasm",Non-Small Cell Lung Cancer,"Non-small cell lung cancer, NOS","Non-small cell lung cancer, NOS"
skeletal muscle tumors,soft tissue,Soft Tissue Neoplasm,,,
"skeletal muscle tumors:malignant:embryonal rhabdomyosarcoma (including botryoid, anaplastic)",soft tissue,Soft Tissue Neoplasm,,,
skeletal muscle tumors:malignant:pleomorphic rhabdomyosarcoma,soft tissue,Soft Tissue Neoplasm,,,
spindle cell carcinoma,lung,"Lung, Mediastinal and Pleural Neoplasm",Non-Small Cell Lung Cancer,"Non-small cell lung cancer, NOS","Non-small cell lung cancer, NOS"
sqaumous cell carcinoma,cervix,.,,,
squamous cell carcinoma,lip and oral cavity,.,,,
squamous cell carcinoma,lung,"Lung, Mediastinal and Pleural Neoplasm",Non-Small Cell Lung Cancer,,Squamous cell lung carcinoma
squamous cell carcinoma,lung,,,Non-Small Cell Lung Cancer,
squamous cell carcinoma (scc),skin,Skin Neoplasm,,,
thymic carcinoma,thymus,"Lung, Mediastinal and Pleural Neoplasm",,,
thymoma,thymus,"Lung, Mediastinal and Pleural Neoplasm",,,
thymoma:other (specify),thymus,"Lung, Mediastinal and Pleural Neoplasm",,,
tumors of cranial and paraspinal nerves:schwannoma (who grade i),central nervous system (brain/spinal cord),.,,,
tumors of peripheral nerves:malignant:malignant peripheral nerve sheath tumor,soft tissue,Soft Tissue Neoplasm,Non-Rhabdomyosarcoma Soft Tissue Sarcoma,,
tumors of uncertain differentiation,soft tissue,Soft Tissue Neoplasm,,,
tumors of uncertain differentiation:malignant,soft tissue,Soft Tissue Neoplasm,,,
tumors of uncertain differentiation:malignant:desmoplastic small round cell tumor,soft tissue,Soft Tissue Neoplasm,Non-Rhabdomyosarcoma Soft Tissue Sarcoma,,
typical carcinoid tumor,lung,"Lung, Mediastinal and Pleural Neoplasm",Neuroendocrine Cancer,,
undifferentiated (anaplastic) carcinoma,thyroid,Endocrine Neoplasm,,,
urothelial (transitional cell) carcinoma,urinary bladder,Bladder neoplasms,Urothelial Tract/Bladder Cancer,transitional cell carcinoma of the bladder,Transitional cell car. - uroth.
urothelial (transitional cell) carcinoma with variant histology (signet ring),urinary bladder,Bladder neoplasms,Urothelial Tract/Bladder Cancer,transitional cell carcinoma of the bladder,Transitional cell car. - uroth.
uterine sarcoma,uterus,.,,,
uveal (or iris) melanoma,ocular tumors,.,,Uveal Melanoma,
uveal (or iris) melanoma:spindle cell type,ocular tumors,.,,Uveal Melanoma,
vascular tumors,soft tissue,Soft Tissue Neoplasm,,,
