Plot_Name,Folder,Label,iframe
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,appendix,2636
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,back,2640
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,back,2642
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,back,NA
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,back,2644
specimen_type_count,STAMPEDE/Specimen_Type_Count,back,2646
test_volume,STAMPEDE/PerTumor_OrderVolume,back,4152
top_gene_count,STAMPEDE/Top_Gene_Count,back,2638
top_variant_count,STAMPEDE/Top_Variant_Count,back,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,back,2648
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,bone,2652
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,bone,2654
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,bone,2656
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,bone,2658
specimen_type_count,STAMPEDE/Specimen_Type_Count,bone,2660
test_volume,STAMPEDE/PerTumor_OrderVolume,bone,4154
top_gene_count,STAMPEDE/Top_Gene_Count,bone,2650
top_variant_count,STAMPEDE/Top_Variant_Count,bone,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,bone,2662
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,breast,2668
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,breast,2670
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,breast,2672
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,breast,2674
specimen_type_count,STAMPEDE/Specimen_Type_Count,breast,2676
test_volume,STAMPEDE/PerTumor_OrderVolume,breast,4156
top_gene_count,STAMPEDE/Top_Gene_Count,breast,2664
top_variant_count,STAMPEDE/Top_Variant_Count,breast,2666
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,breast,2678
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,central nervous system (brain/spinal cord),2684
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,central nervous system (brain/spinal cord),2686
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,central nervous system (brain/spinal cord),2688
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,central nervous system (brain/spinal cord),2690
specimen_type_count,STAMPEDE/Specimen_Type_Count,central nervous system (brain/spinal cord),2692
test_volume,STAMPEDE/PerTumor_OrderVolume,central nervous system (brain/spinal cord),4158
top_gene_count,STAMPEDE/Top_Gene_Count,central nervous system (brain/spinal cord),2680
top_variant_count,STAMPEDE/Top_Variant_Count,central nervous system (brain/spinal cord),2682
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,central nervous system (brain/spinal cord),2694
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,cervix,2698
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,cervix,2700
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,cervix,2702
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,cervix,2704
specimen_type_count,STAMPEDE/Specimen_Type_Count,cervix,2706
test_volume,STAMPEDE/PerTumor_OrderVolume,cervix,4160
top_gene_count,STAMPEDE/Top_Gene_Count,cervix,2696
top_variant_count,STAMPEDE/Top_Variant_Count,cervix,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,cervix,2708
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,colon and rectum,2714
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,colon and rectum,2716
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,colon and rectum,2718
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,colon and rectum,2720
specimen_type_count,STAMPEDE/Specimen_Type_Count,colon and rectum,2722
test_volume,STAMPEDE/PerTumor_OrderVolume,colon and rectum,4162
top_gene_count,STAMPEDE/Top_Gene_Count,colon and rectum,2710
top_variant_count,STAMPEDE/Top_Variant_Count,colon and rectum,2712
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,colon and rectum,2724
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,esophagus,2730
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,esophagus,2732
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,esophagus,2734
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,esophagus,2736
specimen_type_count,STAMPEDE/Specimen_Type_Count,esophagus,2738
test_volume,STAMPEDE/PerTumor_OrderVolume,esophagus,4164
top_gene_count,STAMPEDE/Top_Gene_Count,esophagus,2726
top_variant_count,STAMPEDE/Top_Variant_Count,esophagus,2728
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,esophagus,2740
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,foot,2744
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,foot,2746
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,foot,NA
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,foot,2748
specimen_type_count,STAMPEDE/Specimen_Type_Count,foot,2750
test_volume,STAMPEDE/PerTumor_OrderVolume,foot,4166
top_gene_count,STAMPEDE/Top_Gene_Count,foot,2742
top_variant_count,STAMPEDE/Top_Variant_Count,foot,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,foot,2752
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,foreskin,2756
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,foreskin,2758
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,foreskin,2760
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,foreskin,2762
specimen_type_count,STAMPEDE/Specimen_Type_Count,foreskin,2764
test_volume,STAMPEDE/PerTumor_OrderVolume,foreskin,4168
top_gene_count,STAMPEDE/Top_Gene_Count,foreskin,2754
top_variant_count,STAMPEDE/Top_Variant_Count,foreskin,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,foreskin,2766
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,gallbladder,2772
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,gallbladder,2774
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,gallbladder,2776
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,gallbladder,2778
specimen_type_count,STAMPEDE/Specimen_Type_Count,gallbladder,2780
test_volume,STAMPEDE/PerTumor_OrderVolume,gallbladder,4170
top_gene_count,STAMPEDE/Top_Gene_Count,gallbladder,2768
top_variant_count,STAMPEDE/Top_Variant_Count,gallbladder,2770
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,gallbladder,2782
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,hematologic and lymphatic neoplasm,2786
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,hematologic and lymphatic neoplasm,2788
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,hematologic and lymphatic neoplasm,2790
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,hematologic and lymphatic neoplasm,2792
specimen_type_count,STAMPEDE/Specimen_Type_Count,hematologic and lymphatic neoplasm,2794
test_volume,STAMPEDE/PerTumor_OrderVolume,hematologic and lymphatic neoplasm,4172
top_gene_count,STAMPEDE/Top_Gene_Count,hematologic and lymphatic neoplasm,2784
top_variant_count,STAMPEDE/Top_Variant_Count,hematologic and lymphatic neoplasm,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,hematologic and lymphatic neoplasm,2796
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,intrahepatic bile ducts,2802
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,intrahepatic bile ducts,2804
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,intrahepatic bile ducts,2806
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,intrahepatic bile ducts,2808
specimen_type_count,STAMPEDE/Specimen_Type_Count,intrahepatic bile ducts,2810
test_volume,STAMPEDE/PerTumor_OrderVolume,intrahepatic bile ducts,4174
top_gene_count,STAMPEDE/Top_Gene_Count,intrahepatic bile ducts,2798
top_variant_count,STAMPEDE/Top_Variant_Count,intrahepatic bile ducts,2800
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,intrahepatic bile ducts,2812
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,kidney,2816
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,kidney,2818
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,kidney,2820
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,kidney,2822
specimen_type_count,STAMPEDE/Specimen_Type_Count,kidney,2824
test_volume,STAMPEDE/PerTumor_OrderVolume,kidney,4176
top_gene_count,STAMPEDE/Top_Gene_Count,kidney,2814
top_variant_count,STAMPEDE/Top_Variant_Count,kidney,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,kidney,2826
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,larynx,2830
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,larynx,2832
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,larynx,2834
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,larynx,2836
specimen_type_count,STAMPEDE/Specimen_Type_Count,larynx,2838
test_volume,STAMPEDE/PerTumor_OrderVolume,larynx,4178
top_gene_count,STAMPEDE/Top_Gene_Count,larynx,2828
top_variant_count,STAMPEDE/Top_Variant_Count,larynx,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,larynx,2840
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,lip and oral cavity,2844
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,lip and oral cavity,2846
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,lip and oral cavity,2848
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,lip and oral cavity,2850
specimen_type_count,STAMPEDE/Specimen_Type_Count,lip and oral cavity,2852
test_volume,STAMPEDE/PerTumor_OrderVolume,lip and oral cavity,4180
top_gene_count,STAMPEDE/Top_Gene_Count,lip and oral cavity,2842
top_variant_count,STAMPEDE/Top_Variant_Count,lip and oral cavity,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,lip and oral cavity,2854
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,liver and hepatocellular (liver),2860
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,liver and hepatocellular (liver),2862
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,liver and hepatocellular (liver),2864
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,liver and hepatocellular (liver),2866
specimen_type_count,STAMPEDE/Specimen_Type_Count,liver and hepatocellular (liver),2868
test_volume,STAMPEDE/PerTumor_OrderVolume,liver and hepatocellular (liver),4182
top_gene_count,STAMPEDE/Top_Gene_Count,liver and hepatocellular (liver),2856
top_variant_count,STAMPEDE/Top_Variant_Count,liver and hepatocellular (liver),2858
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,liver and hepatocellular (liver),2870
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,lung,2876
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,lung,2878
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,lung,2880
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,lung,2882
specimen_type_count,STAMPEDE/Specimen_Type_Count,lung,2884
test_volume,STAMPEDE/PerTumor_OrderVolume,lung,4184
top_gene_count,STAMPEDE/Top_Gene_Count,lung,2872
top_variant_count,STAMPEDE/Top_Variant_Count,lung,2874
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,lung,2886
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,lymph node,2892
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,lymph node,2894
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,lymph node,2896
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,lymph node,2898
specimen_type_count,STAMPEDE/Specimen_Type_Count,lymph node,2900
test_volume,STAMPEDE/PerTumor_OrderVolume,lymph node,4186
top_gene_count,STAMPEDE/Top_Gene_Count,lymph node,2888
top_variant_count,STAMPEDE/Top_Variant_Count,lymph node,2890
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,lymph node,2902
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,mesenteric mass,2906
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,mesenteric mass,2908
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,mesenteric mass,2910
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,mesenteric mass,NA
specimen_type_count,STAMPEDE/Specimen_Type_Count,mesenteric mass,2912
test_volume,STAMPEDE/PerTumor_OrderVolume,mesenteric mass,4188
top_gene_count,STAMPEDE/Top_Gene_Count,mesenteric mass,2904
top_variant_count,STAMPEDE/Top_Variant_Count,mesenteric mass,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,mesenteric mass,2914
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,nasal cavity and paranasal sinuses,2918
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,nasal cavity and paranasal sinuses,2920
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,nasal cavity and paranasal sinuses,2922
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,nasal cavity and paranasal sinuses,2924
specimen_type_count,STAMPEDE/Specimen_Type_Count,nasal cavity and paranasal sinuses,2926
test_volume,STAMPEDE/PerTumor_OrderVolume,nasal cavity and paranasal sinuses,4190
top_gene_count,STAMPEDE/Top_Gene_Count,nasal cavity and paranasal sinuses,2916
top_variant_count,STAMPEDE/Top_Variant_Count,nasal cavity and paranasal sinuses,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,nasal cavity and paranasal sinuses,2928
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,nasopharynx,2932
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,nasopharynx,2934
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,nasopharynx,2936
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,nasopharynx,2938
specimen_type_count,STAMPEDE/Specimen_Type_Count,nasopharynx,2940
test_volume,STAMPEDE/PerTumor_OrderVolume,nasopharynx,4192
top_gene_count,STAMPEDE/Top_Gene_Count,nasopharynx,2930
top_variant_count,STAMPEDE/Top_Variant_Count,nasopharynx,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,nasopharynx,2942
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,neck,2946
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,neck,2948
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,neck,2950
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,neck,2952
specimen_type_count,STAMPEDE/Specimen_Type_Count,neck,2954
test_volume,STAMPEDE/PerTumor_OrderVolume,neck,4194
top_gene_count,STAMPEDE/Top_Gene_Count,neck,2944
top_variant_count,STAMPEDE/Top_Variant_Count,neck,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,neck,2956
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,ocular tumors,2960
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,ocular tumors,2962
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,ocular tumors,2964
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,ocular tumors,2966
specimen_type_count,STAMPEDE/Specimen_Type_Count,ocular tumors,2968
test_volume,STAMPEDE/PerTumor_OrderVolume,ocular tumors,4196
top_gene_count,STAMPEDE/Top_Gene_Count,ocular tumors,2958
top_variant_count,STAMPEDE/Top_Variant_Count,ocular tumors,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,ocular tumors,2970
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,ovary,2974
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,ovary,2976
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,ovary,2978
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,ovary,2980
specimen_type_count,STAMPEDE/Specimen_Type_Count,ovary,2982
test_volume,STAMPEDE/PerTumor_OrderVolume,ovary,4198
top_gene_count,STAMPEDE/Top_Gene_Count,ovary,2972
top_variant_count,STAMPEDE/Top_Variant_Count,ovary,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,ovary,2984
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,pancreas,2990
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,pancreas,2992
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,pancreas,2994
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,pancreas,2996
specimen_type_count,STAMPEDE/Specimen_Type_Count,pancreas,2998
test_volume,STAMPEDE/PerTumor_OrderVolume,pancreas,4200
top_gene_count,STAMPEDE/Top_Gene_Count,pancreas,2986
top_variant_count,STAMPEDE/Top_Variant_Count,pancreas,2988
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,pancreas,3000
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,penis,3004
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,penis,3006
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,penis,3008
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,penis,3010
specimen_type_count,STAMPEDE/Specimen_Type_Count,penis,3012
test_volume,STAMPEDE/PerTumor_OrderVolume,penis,4202
top_gene_count,STAMPEDE/Top_Gene_Count,penis,3002
top_variant_count,STAMPEDE/Top_Variant_Count,penis,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,penis,3014
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,perihilar bile ducts,3018
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,perihilar bile ducts,3020
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,perihilar bile ducts,3022
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,perihilar bile ducts,3024
specimen_type_count,STAMPEDE/Specimen_Type_Count,perihilar bile ducts,3026
test_volume,STAMPEDE/PerTumor_OrderVolume,perihilar bile ducts,4204
top_gene_count,STAMPEDE/Top_Gene_Count,perihilar bile ducts,3016
top_variant_count,STAMPEDE/Top_Variant_Count,perihilar bile ducts,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,perihilar bile ducts,3028
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,peritoneum,3034
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,peritoneum,3036
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,peritoneum,3038
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,peritoneum,3040
specimen_type_count,STAMPEDE/Specimen_Type_Count,peritoneum,3042
test_volume,STAMPEDE/PerTumor_OrderVolume,peritoneum,4206
top_gene_count,STAMPEDE/Top_Gene_Count,peritoneum,3030
top_variant_count,STAMPEDE/Top_Variant_Count,peritoneum,3032
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,peritoneum,3044
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,pharynx,3048
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,pharynx,3050
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,pharynx,3052
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,pharynx,3054
specimen_type_count,STAMPEDE/Specimen_Type_Count,pharynx,3056
test_volume,STAMPEDE/PerTumor_OrderVolume,pharynx,4208
top_gene_count,STAMPEDE/Top_Gene_Count,pharynx,3046
top_variant_count,STAMPEDE/Top_Variant_Count,pharynx,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,pharynx,3058
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,pleura,3062
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,pleura,3064
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,pleura,3066
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,pleura,3068
specimen_type_count,STAMPEDE/Specimen_Type_Count,pleura,3070
test_volume,STAMPEDE/PerTumor_OrderVolume,pleura,4210
top_gene_count,STAMPEDE/Top_Gene_Count,pleura,3060
top_variant_count,STAMPEDE/Top_Variant_Count,pleura,NA
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,pleura,3072
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,prostate gland,3078
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,prostate gland,3080
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,prostate gland,3082
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,prostate gland,3084
specimen_type_count,STAMPEDE/Specimen_Type_Count,prostate gland,3086
test_volume,STAMPEDE/PerTumor_OrderVolume,prostate gland,4212
top_gene_count,STAMPEDE/Top_Gene_Count,prostate gland,3074
top_variant_count,STAMPEDE/Top_Variant_Count,prostate gland,3076
tumor_purity_count,STAMPEDE/Tumor_Purity_Count,prostate gland,3088
gender_age_distribution,STAMPEDE/Gender_Age_Distribution,salivary glands,3092
pt_mutation_count_allvariants,STAMPEDE/Patient_Mutation_Count/All_Variants,salivary glands,3094
pt_mutation_count_pathovariants,STAMPEDE/Patient_Mutation_Count/Pathogenic_Variants,salivary glands,3096
pt_mutation_count_VUS,STAMPEDE/Patient_Mutation_Count/UnknownSignificance_Variants,salivary glands,3098
specimen_type_count,STAMPEDE/Specimen_Type_Count,salivary glands,3100
test_volume,STAMPEDE/PerTumor_OrderVolume,salivary glands,4214
top_gene_count,STAMPEDE/Top_Gene_Count,salivary glands,3090
top_variant_count,STAMPEDE/Top_Variant_Count,salivary glands,NA
